Order_id,Customer_id,Order_date,Order_status
098aebe2-f6cd-493f-9042-86685c27d3b1,1477a31c-97bb-4ecf-bb75-e91562c08cb5,2025-02-01,Shipped
08ef873b-e56f-49a4-bcf8-6b87def1f047,f701628d-9716-4710-ab80-a53cd3249206,2022-04-28,Shipped
7c4a18ab-9bcb-45c4-a8bd-78a56ba15621,610584b9-e98f-4207-bdf7-ca750b4d11e8,2022-12-17,Canceled
e2a19681-e78c-48f2-bd48-5579b10233d2,b89d8b69-a7df-4e40-b06c-66846da8df2a,2023-07-18,Shipped
312654a3-1454-4ec8-8a00-5156ba23b7e1,e67eb6b2-bab9-40e0-b13d-af4f2809f027,2022-08-18,Processing
6dfc77d0-ed21-427b-8aab-ff64a8f02954,6e04544b-2b39-4fd4-978e-e5b8e6c50c70,2024-08-04,Canceled
5c10d537-480f-4ef3-8b46-bdee1c9916ea,77073b5f-9753-4185-9bc9-b5efbbfc09d0,2025-01-06,Processing
532e5729-7472-436b-8265-60d06ff005cc,4b5ea602-dbac-47d4-8d69-fd975cf01c6b,2023-01-29,Shipped
672445fb-6675-4ae2-b272-fd568fb6f321,6e315d21-28c5-42bc-a948-1897c21bc616,2024-07-26,Shipped
a4c482ba-edbc-4421-bfbc-9b7a020fe079,06bec4d3-384d-4798-8743-8adf7237f6bb,2023-08-16,Processing
6c85b719-74fc-409c-91ed-3c4669adc168,cfadacdb-895e-41b4-a069-3a32d5a3cfa8,2024-10-05,Processing
e03a88f6-d7c5-4f13-be4a-0ab6a9d5a5e1,1c81dd9f-32c6-449e-956e-beb09f103a9e,2022-11-14,Canceled
a8a38ba0-67b9-41e9-b6bd-bb7bed4dafc7,8cdaf260-450f-48ce-a1e5-fa0aa992536f,2024-01-15,Processing
d9d55ddb-390c-439d-9f06-039120e3d376,16eb3b40-f3aa-431a-aff3-3c98c7d20921,2024-02-01,Delivered
389d8f37-17dc-48da-8e31-48abf46056e0,4e3375ba-9a50-4046-849f-c2710727dca5,2023-09-17,Shipped
3b12a0fd-d201-4a4b-8625-559fa3ebe3aa,4d457a35-20cc-46c2-944b-643f555000a2,2025-02-16,Delivered
6eb7391d-7eff-491b-8602-176bf6869095,0acf39a6-5f18-4828-a30b-580489e9780e,2023-02-07,Delivered
4c7f5c78-691b-4a9a-8569-96c9ffe189b1,fafd9fd8-d1c7-46e1-8a07-9402c5b03106,2022-03-01,Shipped
0108e3a8-90a6-44fe-b7a9-d01632d5b991,b760b4ec-ce97-4ca0-8b5c-acc48b4ebb6e,2022-10-29,Processing
3ede1103-5e49-4d5d-b75e-7421d77293de,272701d3-5095-4134-8ed2-88a9f040f345,2024-02-14,Shipped
b7c228c6-db14-49ff-99d9-0a5ad2e1f9c7,8a239feb-d85d-4fb1-9e12-6ba35d4d30d2,2024-10-19,Delivered
a72d3179-c673-4caa-8747-44910d78e7da,4c16cb92-24af-4dee-9e13-028e463c5cb4,2023-09-03,Processing
e9b077e6-8bd8-4c7c-b394-26e44fdf34a9,82491d4a-0b40-459f-a1af-c1a676dc973e,2022-05-20,Processing
a1ad5f66-5f88-4eaf-957c-876d1cb27f1b,45fc4e22-8db4-48ad-ae9f-0e6c8bfb32e8,2024-11-24,Shipped
55d1b95e-bdf5-4414-ab14-b6cdf6d64b7b,aff72061-26ae-4f9b-a7a8-dc59c6f23520,2023-09-11,Delivered
5c1db533-6376-404f-93c8-d9806b3ae7a9,45870573-071f-41a0-a714-a80cfad80654,2023-05-30,Canceled
7b0a3822-09fc-46a8-948b-1014f511df43,275d8ce4-089c-4b4f-b852-0ba6032bc552,2024-08-11,Delivered
8cd3079a-0f14-4a54-ba71-65762d26e22b,51c1e4ea-d468-45b0-9e9e-f88d6baf8a20,2023-04-14,Shipped
6f94e00f-d53b-4395-a1a3-d63634597dd4,01eaec5f-d9f6-4a4a-95b0-b2d4824dca13,2023-02-26,Processing
e3451810-0840-495a-a2a2-aebcaff81292,a42a6477-4a88-45e6-9052-be76db4130a7,2024-10-31,Delivered
859e89a6-7d77-4ad9-acf8-74e616b97843,79e27aac-fc0f-4df6-992e-c5d7fa449e3a,2022-11-26,Canceled
0dc85b90-3905-4c8d-a30d-82431da3afff,ad22742a-fb55-4f42-811c-8345ef30f650,2023-12-01,Delivered
